FPS,Position,Rotation
62,421,X=816.559 Y=176.858 Z=207.836,P=-9.837036 Y=11.713344 R=2.375383
35,456,X=818.266 Y=166.933 Z=203.686,P=-27.924837 Y=-19.761385 R=-0.407166
35,956,X=812.896 Y=167.878 Z=203.031,P=-27.616735 Y=-68.721855 R=10.932055
35,023,X=813.762 Y=170.551 Z=202.269,P=-31.495298 Y=-65.144112 R=10.177693
40,085,X=824.719 Y=129.385 Z=189.925,P=-40.944733 Y=-68.093735 R=7.328312
35,17,X=822.515 Y=132.349 Z=187.431,P=-47.849815 Y=-83.001694 R=8.354720
36,736,X=820.178 Y=136.398 Z=188.108,P=-45.848965 Y=-80.658737 R=7.242469
36,92,X=823.984 Y=140.752 Z=184.398,P=-57.736870 Y=-64.837860 R=6.024147
36,023,X=827.190 Y=137.937 Z=186.920,P=-50.709003 Y=-73.187874 R=4.158891
69,114,X=838.375 Y=61.515 Z=187.298,P=-49.758808 Y=-77.360634 R=4.176872
71,231,X=839.065 Y=62.549 Z=188.287,P=-45.220268 Y=-85.780701 R=9.336720
72,96,X=840.493 Y=59.171 Z=186.114,P=-46.647648 Y=-92.574844 R=13.985407
69,867,X=837.445 Y=60.363 Z=189.413,P=-40.284233 Y=-98.500252 R=8.905833
42,427,X=836.746 Y=60.636 Z=189.506,P=-40.538879 Y=-97.378029 R=5.987559
35,239,X=841.913 Y=63.517 Z=191.228,P=-35.520012 Y=-64.989639 R=-0.701175
34,175,X=850.547 Y=84.295 Z=192.161,P=-29.212095 Y=25.638649 R=-12.277087
35,877,X=832.689 Y=62.426 Z=185.513,P=-22.256226 Y=-175.599899 R=31.775585
34,056,X=840.337 Y=59.198 Z=183.839,P=-48.307159 Y=-112.523262 R=5.040587
35,211,X=836.794 Y=63.882 Z=183.676,P=-44.577744 Y=-151.674362 R=25.919144
34,958,X=832.059 Y=64.922 Z=182.348,P=-42.124249 Y=179.881058 R=31.896982
67,578,X=743.734 Y=98.761 Z=185.155,P=-24.390898 Y=173.577057 R=33.834846
35,322,X=632.656 Y=147.811 Z=185.218,P=-47.375561 Y=-165.372681 R=24.375299
35,005,X=633.910 Y=145.459 Z=186.383,P=-48.653015 Y=-136.955154 R=12.545999
34,923,X=641.786 Y=145.513 Z=192.995,P=-28.493860 Y=-35.396004 R=-13.255361
35,647,X=803.385 Y=64.796 Z=190.775,P=-31.200064 Y=-33.029861 R=-6.230993
38,198,X=786.880 Y=63.367 Z=186.030,P=-39.743591 Y=-147.992111 R=18.839209
35,112,X=801.743 Y=60.553 Z=183.039,P=-53.439522 Y=-93.196007 R=-3.430815
36,934,X=805.586 Y=59.532 Z=186.602,P=-42.266537 Y=-80.715828 R=0.168186
34,829,X=796.594 Y=60.301 Z=186.094,P=-45.341164 Y=-104.364662 R=1.429373
33,091,X=772.046 Y=18.533 Z=187.386,P=-43.091946 Y=-74.348671 R=-4.240695
35,235,X=774.568 Y=21.342 Z=184.739,P=-48.339741 Y=-45.746510 R=-4.484346
35,803,X=793.825 Y=15.561 Z=145.273,P=-59.247993 Y=130.706940 R=-170.152557
35,587,X=815.314 Y=14.838 Z=144.718,P=-49.315018 Y=165.182434 R=-165.104218
35,784,X=832.399 Y=20.225 Z=136.477,P=-33.041714 Y=150.438889 R=-169.185516
36,158,X=836.855 Y=21.973 Z=133.483,P=-13.908074 Y=161.903717 R=-178.671219
36,841,X=836.915 Y=21.830 Z=133.479,P=-13.924070 Y=161.890350 R=-178.497986
36,428,X=836.913 Y=21.802 Z=133.407,P=-13.863917 Y=161.883377 R=-178.426971
36,424,X=836.945 Y=21.783 Z=133.357,P=-13.821017 Y=161.877411 R=-178.420059
35,058,X=836.749 Y=22.100 Z=133.264,P=-13.681456 Y=162.943619 R=-178.505127
34,295,X=836.545 Y=22.142 Z=133.349,P=-15.141777 Y=161.414215 R=-179.325165
37,902,X=830.086 Y=13.006 Z=140.924,P=-21.889608 Y=-21.594772 R=-9.371655
35,395,X=830.667 Y=11.476 Z=146.045,P=-21.389406 Y=-17.101637 R=-22.935003
35,729,X=842.152 Y=17.132 Z=135.588,P=-16.201412 Y=-28.618555 R=-0.063049
35,461,X=843.816 Y=18.287 Z=131.754,P=-3.383874 Y=-31.863302 R=2.145886
36,77,X=843.591 Y=18.435 Z=131.358,P=0.749511 Y=-32.476089 R=0.421757
35,824,X=843.589 Y=18.435 Z=131.362,P=0.831453 Y=-32.460228 R=0.420760
35,658,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,355,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,124,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,449,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,064,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,149,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,394,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,14,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,648,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,032,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,812,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,91,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,439,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,789,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,66,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,006,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,609,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,091,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,536,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,731,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,04,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,695,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,943,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,403,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,718,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,651,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
33,855,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,437,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,526,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,535,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,268,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,094,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,771,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,706,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,373,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,703,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,041,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,383,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,796,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,589,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,61,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,675,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,523,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,391,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,515,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,904,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,58,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,265,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,481,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,326,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,091,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,968,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,254,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,734,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
34,575,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
36,471,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
35,896,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
2,97,X=805.871 Y=19.114 Z=20.000,P=0.000000 Y=0.000000 R=0.000000
